-25;-24;-23;-22;-21;-20;-19;-18;-17;-16;-15;-14;-13;-12;-11;-10;-9;-8;-7;-6;-5;-4;-3;-2;-1;0;1;2;3;4;5
0.7009;0.6988;0.6840000000000001;0.6728;0.668;0.652;0.6415999999999999;0.6152;0.6097;0.5887;0.5741000000000001;0.5578;0.517;0.4937;0.4581;0.429;0.3873;0.3396;0.2895;0.2401;0.21;0.1536;0.1167;0.0756;0.0462;0.0285;0.0115;0.0055;0.0015;0.0005;0.0001
0.5580000000000001;0.5315;0.5178;0.4896;0.4624;0.4362;0.3961;0.3647;0.3259;0.2815;0.2347;0.1982;0.153;0.118;0.0924;0.0618;0.0432;0.024;0.0165;0.009299999999999999;0.0067;0.0022;0.0019;0.0011;0.0003;0.0001;0.0001;0;0;0;0
0.5482;0.5366;0.5116000000000001;0.4864;0.4504;0.432;0.396;0.3644;0.3226;0.2811;0.2425;0.1955;0.1571;0.123;0.0849;0.0605;0.0411;0.0259;0.0178;0.0102;0.0061;0.0037;0.0013;0.001;0.0003;0.0001;0;0;0;0;0
0.5415;0.5317;0.5024999999999999;0.4857;0.467;0.4288;0.4011;0.369;0.3188;0.2795;0.2495;0.196;0.1578;0.1213;0.0888;0.0582;0.0371;0.0271;0.0163;0.0117;0.0064;0.0029;0.0023;0.0007;0.0005;0;0;0;0;0;0
0.5528;0.5319;0.518;0.4968;0.4572;0.4311;0.3927;0.3674;0.3233;0.2878;0.2403;0.2013;0.1582;0.1251;0.083;0.0616;0.0397;0.0268;0.014;0.0095;0.0055;0.0033;0.002;0.001;0.0005;0.0001;0;0;0;0;0
0.5402;0.5211;0.5125;0.4873;0.4666;0.4398;0.4063;0.3667;0.3257;0.2793;0.2397;0.1993;0.161;0.1194;0.08749999999999999;0.0616;0.0394;0.0264;0.016;0.0111;0.0065;0.0035;0.0026;0.0012;0.0007;0.0001;0;0;0;0;0
0.5269;0.501;0.4812;0.4345;0.3993;0.3683;0.3302;0.2771;0.23;0.1899;0.1467;0.09959999999999999;0.0726;0.0407;0.0216;0.0102;0.0031;0.0015;0.0007;0;0;0;0;0;0;0;0;0;0;0;0
0.5323;0.5014;0.479;0.4522;0.4049;0.3679;0.3241;0.2844;0.2324;0.1856;0.1492;0.1051;0.06759999999999999;0.0416;0.0181;0.0097;0.0045;0.0014;0.0003;0;0;0;0;0;0;0;0;0;0;0;0
0.5333;0.5036;0.4695;0.4432;0.3962;0.3749;0.3269;0.2841;0.2325;0.1871;0.149;0.1012;0.063;0.04;0.0211;0.0097;0.0034;0.0012;0.0002;0.0002;0.0001;0;0;0;0;0;0;0;0;0;0
0.5218;0.5033;0.4718;0.4375;0.4044;0.3743;0.3319;0.2795;0.2336;0.1826;0.1397;0.1029;0.0682;0.0414;0.0186;0.011;0.0043;0.002;0.0005;0.0001;0;0;0;0;0;0;0;0;0;0;0
0.4458;0.4225;0.374;0.3405;0.2971;0.248;0.1987;0.1508;0.1115;0.0737;0.0456;0.0239;0.0124;0.0055;0.0016;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.3272;0.2817;0.2231;0.1872;0.138;0.1009;0.062;0.034;0.018;0.008699999999999999;0.0034;0.0009;0;0;0;0
0.0025;0.0007;0.0001
0.1905;0.1412;0.0982;0.0667;0.038;0.0198;0.0102;0.0025;0.001
0.0033;0.0005999999999999999;0.0002;0
